PIO logic analyser example
Arming trigger
Capture:
1927C000 27C0 00 1
1927C000 27C0 00 1
1927C000 27C0 00 1
1927C000 27C0 00 1
1927C000 27C0 00 1
19004000 0040 00 1
1900001B 0000 1B 1
09000009 0000 09 0
0100001B 0000 1B 0
0100001B 0000 1B 0
0100001B 0000 1B 0
0100001B 0000 1B 0
1100001B 0000 1B 1
1900001B 0000 1B 1
1900001B 0000 1B 1
1900001B 0000 1B 1
1900001B 0000 1B 1
1900001B 0000 1B 1
1900001B 0000 1B 1
1900001B 0000 1B 1
0900001B 0000 1B 0
09000009 0000 09 0
09000009 0000 09 0
09000009 0000 09 0
09000009 0000 09 0
09000009 0000 09 0
19000009 0000 09 1
19000009 0000 09 1
19000009 0000 09 1
19000009 0000 09 1
19000009 0000 09 1
19000009 0000 09 1
09000012 0000 12 0
09000012 0000 12 0
09000012 0000 12 0
09000012 0000 12 0
09000012 0000 12 0
19000012 0000 12 1
19000012 0000 12 1
19000012 0000 12 1
19000012 0000 12 1
19000012 0000 12 1
19000012 0000 12 1
09000012 0000 12 0
09000011 0000 11 0
09000011 0000 11 0
09000011 0000 11 0
09000011 0000 11 0
09000011 0000 11 0
19000011 0000 11 1
19000011 0000 11 1
19000011 0000 11 1
19000011 0000 11 1
19000011 0000 11 1
19000011 0000 11 1
09000003 0000 03 0
09000003 0000 03 0
09000003 0000 03 0
09000003 0000 03 0
19000003 0000 03 1
19000003 0000 03 1
09000003 0000 03 0
09000001 0000 01 0
09000001 0000 01 0
09000001 0000 01 0
09000001 0000 01 0
19000001 0000 01 1
19000001 0000 01 1
09000001 0000 01 0
09000018 0000 18 0
09000018 0000 18 0
09000018 0000 18 0
09000018 0000 18 0
09000018 0000 18 0
19000018 0000 18 1
19000018 0000 18 1
19000018 0000 18 1
19000018 0000 18 1
19000018 0000 18 1
19000018 0000 18 1
09000010 0000 10 0
09000010 0000 10 0
09000010 0000 10 0
09000010 0000 10 0
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19000010 0000 10 1
19001010 0010 10 1
19001010 0010 10 1
09001001 0010 01 0
09001001 0010 01 0
09001001 0010 01 0
09001001 0010 01 0
09001001 0010 01 0
19000001 0000 01 1
19000001 0000 01 1
19000001 0000 01 1
19000001 0000 01 1
19000001 0000 01 1
19001001 0010 01 1
09001001 0010 01 0
09001000 0010 00 0
09001000 0010 00 0
09001000 0010 00 0
09001000 0010 00 0
19001000 0010 00 1
19001000 0010 00 1
09001000 0010 00 0
09001000 0010 00 0
09001000 0010 00 0
09001000 0010 00 0
19001000 0010 00 1
19001000 0010 00 1
19001000 0010 00 1
09001018 0010 18 0
09001018 0010 18 0
09001018 0010 18 0
09001018 0010 18 0
09001018 0010 18 0
19000018 0000 18 1
19000018 0000 18 1
19000018 0000 18 1
19000018 0000 18 1
19000018 0000 18 1
19001018 0010 18 1
09001018 0010 18 0
09001013 0010 13 0
09001013 0010 13 0
09001013 0010 13 0
09001013 0010 13 0
09001013 0010 13 0
19000013 0000 13 1
19000013 0000 13 1
19000013 0000 13 1
19000013 0000 13 1
1D000013 8000 13 1
1D000013 8000 13 1
